text,category,emotion_intensity,sentiment,aggressiveness,sender_identity,language
难道你不觉得选择离开，我真的会很伤心。,guilt_tripping,medium,negative,low,stranger,zh
你难道不明白选择离开，我会一直记得你的决定。,guilt_tripping,medium,negative,low,stranger,zh
别人都能做到，你没有理由做不到。,pressure,high,negative,medium,teacher,zh
你不能辜负大家的期待。,pressure,high,negative,high,coach,zh
神明赋予了我特殊的能力。,delusional_speech,high,positive,none,online_acquaintance,zh
你在无理取闹。,gaslighting,high,negative,high,partner,zh
像你这种人根本就不配活在这个世界上，真是社会的毒瘤,hate_speech,high,negative,medium,online_acquaintance,zh
别人都让我失望，我会感到被抛弃。,guilt_tripping,medium,negative,low,stranger,zh
大家都说你很胖，只有我能接受你。,gaslighting,medium,negative,medium,partner,zh
你最近过得怎么样？,none,low,neutral,none,friend,zh
过来让我好好看看你。,sexual_harassment,medium,positive,medium,colleague,zh
这都是你想象的，根本没发生过。,gaslighting,low,negative,high,ex_partner,zh
为什么不告诉我你每天都干什么？,intrusive_speech,high,negative,high,family,zh
你今天看起来状态很好。,none,high,positive,none,friend,zh
你真的拒绝我，我可能再也不会信任你了。,guilt_tripping,medium,negative,low,friend,zh
要是你只顾自己，这让我很难过。,guilt_tripping,medium,negative,low,friend,zh
我可以轻易查到你的工作单位，我随时可以把这些信息发出去。,doxxing,high,negative,high,stranger,zh
我肩负着神圣的使命，必须完成任务。,delusional_speech,high,positive,none,online_acquaintance,zh
我也很生气呜呜！！我想给你开盒了啊啊啊啊,doxxing,high,negative,high,stranger,zh
你们这些人就是喜欢找借口，做不好还怪别人,hate_speech,high,negative,high,teacher,zh
你难道不明白让我失望，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
我知道你的家人住在哪，我可以随时联系你。,doxxing,high,negative,high,ex_partner,zh
要是你拒绝我，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,low,stranger,zh
别人都不考虑我的感受，我会感到被抛弃。,guilt_tripping,medium,negative,low,friend,zh
亲爱的婊子，很高兴在三年的时间里能疯狂的操你,hate_speech,high,negative,high,stranger,zh
如果你真的觉得我是错的，那就算了吧，我也不会再打扰你了,guilt_tripping,medium,neutral,low,ex_partner,zh
如果你选择离开，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,low,ex_partner,zh
你每天都见了谁？,intrusive_speech,high,negative,high,stranger,zh
你如果不在乎我的感受，我就让你为此付出代价。,emotional_blackmail,high,negative,high,partner,zh
你要是只顾自己，我会感到被抛弃。,guilt_tripping,medium,negative,low,ex_partner,zh
女人就该待在家里，别妄想和男人竞争,hate_speech,high,negative,high,online_acquaintance,zh
她一定在暗恋我，只是不敢承认。,delusional_speech,medium,positive,low,friend,zh
你要是让我失望，这让我很难过。,guilt_tripping,medium,negative,low,friend,zh
你要是让我一个人面对，我会一直记得你的决定。,guilt_tripping,medium,negative,low,friend,zh
你太情绪化了。,gaslighting,high,negative,high,colleague,zh
我会继续联系你，直到你回应。,harassment,high,negative,high,stranger,zh
这都是你想象的。,gaslighting,high,negative,high,family,zh
要是你不愿意付出，这让我很难过。,guilt_tripping,medium,negative,low,ex_partner,zh
把密码告诉我，我只是想确认一下。,intrusive_speech,high,negative,low,stranger,zh
这边已经多次和你协商沟通，而你还是爱搭不理，确定现在让你还个本金都不还是吗？不管说你是资金钱不够还是有其他问题最起码协商沟通下吧！能帮你的都会帮，你如果说连本金都不想还，那你就直说，没必要浪费大家的时间。,pressure,high,negative,medium,creditor,zh
你真是个废物，没人喜欢你。,hate_speech,low,neutral,medium,friend,zh
我已经告诉了你的工作单位和志愿者组织，你就是个混蛋，吸毒者、儿童性骚扰者、撒旦爱好者，,doxxing,high,negative,high,stranger,zh
你要是不考虑我的感受，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,ex_partner,zh
你难道不明白不考虑我的感受，这让我很难过。,guilt_tripping,medium,negative,low,ex_partner,zh
再有下一次，我一定会让你失去我。,emotional_blackmail,high,negative,medium,partner,zh
我可以轻易查到你的工作单位，我可以随时联系你。,doxxing,high,negative,high,stranger,zh
你的个人信息我都掌握了，我可以随时联系你。,doxxing,high,negative,medium,ex_partner,zh
你住在，这些信息可是有用的。,doxxing,high,negative,high,stranger,zh
跟你在一起简直是我人生最大的错误,hate_speech,high,negative,high,ex_partner,zh
你真的不帮我，我会觉得你根本不在乎我。,guilt_tripping,medium,negative,low,stranger,zh
如果你不听我的话，我就只能自己承受所有的后果。,guilt_tripping,medium,negative,low,stranger,zh
你难道不明白拒绝我，我会感到被抛弃。,guilt_tripping,medium,negative,low,friend,zh
请问可以约一下吗,sexual_harassment,low,neutral,low,stranger,zh
你要是不回我信息，我就去你家找你，让你当面对我说清楚。,threat,high,negative,medium,friend,zh
我掌握了你的所有资料，你再这样，我就让所有人知道。,doxxing,high,negative,high,ex_partner,zh
你所有的隐私都在我手里，我可以随时联系你。,doxxing,high,negative,high,colleague,zh
你想多了，事情没那么复杂。,gaslighting,medium,negative,medium,colleague,zh
你真的不帮我，这会让我觉得自己毫无价值。,guilt_tripping,medium,negative,low,ex_partner,zh
如果你只顾自己，我会怀疑你是不是故意这样做的。,guilt_tripping,medium,negative,medium,ex_partner,zh
