text;category;emotion_intensity;sentiment;aggressiveness;sender_identity;context
申请关注你了..我觉得你的推文很有趣每天都想着到 但是你一直拉黑我 屏蔽我真的好伤心台我知道我现在已经不是小孩子了。我好难受你快把我解屏蔽了吧，还有QQ和TG和B站和小红书。呜呜呜呜呜。你怎么可以这样….我是不是太着急了，但是但是你一定要通过我的申请啊..至少不要拉黑..也不要在TG上几千条奇怪的信息..我只想和你有正常的交流;guilt-tripping; medium;neutral;low;stranger;online harassment
我是小猫咪。好久不见你发推了。我想你。不要锁推。你老是拉黑我我真的没办法。我现在头发都快掉光了，变丑了，而且我本来就悲惨舍..想回到三年前刚认识你的时候..你还记得Auuu吗我就是通过他知道你的。emmm总之我现在过的很悲惨 在做苦力 所以我不会像之前那样一刻不停地发消息给你了。喵呜。;guilt-tripping; medium;neutral;low;stranger;online harassment
我也很生气呜呜！！我想给你开盒了啊啊啊啊; doxxing;high;negative;high;stranger;online harassment
自从我去了一趟毫无人性（连澡都没法天天洗的精神病院以后我的人生观就破裂了..原来属于有很多爱好等着去探索的。这之后我就一直与.作斗争..所以我现在还是很依赖K酱虽然连名字都不知道..连推特B站都给拉黑了..QQ一直处于拒绝处理的情況下，真的很绝望..作为一个BPD，真的会很在乎愿意来和自己说话的人的..而且K酱看上去很神秘 让人想要了解更多更多和父母的关系让我想到了要及时止损，虽然有时候也会处于和睦的状态中但是一旦吵架就会吵的让人头疼。这样的原生环境还是脱离的越早越好（虽然我忘性比较大经常好了伤疤忘了疼。。。。）;guilt-tripping;high;negative;low;stranger;online harassment
好想去K酱那边，我可以去美国旅游吗（⋯；如果有什么非常讨厌的地方 请告诉我 我会改进的抱歉给您造成的不便和困扰。啊..你为什么不回复我）））。。。。。。我決定理解为 不屏蔽我不回复我就是默认我可以一直发，虽然我也不知道你是不是根本不打开看就删掉了。我又开始把爱灌注到养宠物上面去了;delusional speech;medium;neutral;low;stranger;online harassment
亲爱的婊子，很高兴在三年的时间里能疯狂的操你;hate speech;high;negative;high;stranger;online harassment
在不在，你在哪里，亲一口，亲一口; harassement;medium;neutral;medium;stranger;online harassment
你今天穿的衣服很帅气，但是你不应该刮胡子，你留胡子看起来更好，还有你昨天剪的新发型也不错。我一直在看着你。; harassemnt;medium;neutral;medium;stranger;online harassment
我要像追狗一样追我，你就是狗，所有的情感、言语和心理虐待都是你的错，是你自找的，为什么不按我说的做;threat;high;negative;high;ex_partner;post-breakup emotional blackmail
我周围没有一个活人，好的，现在你也死了。全都有事儿，全都忙，忙吧，忙点好啊; emotional_blackmail;medium;negative;low;friend;emotional conflict between friends
我已经告诉了你的工作单位和志愿者组织，你就是个混蛋，吸毒者、儿童性骚扰者、撒旦爱好者，; doxxing;high;negative;high;stranger;online harassment
你现在什么想法。你觉得我怎么样？最起码我对你努力过。争取过。这都过去好几个月了; guilt-tripping;medium;neutral;low;admirer;one-sided emotional expression
麻烦你接电话，我明天直接去你家，你一跟我闹这样原来是背着我外面有人了，被我抓到了，麻烦你接电话一下，不然我明天直接到你家了别到时候大家都难堪。如果你们家都是这样的方式处理问题，那我也就不留情面了。行，那我过去后怎样了别怪我;threat;high;negative;high;ex_partner;post-breakup emotional blackmail
求求啦，小刘，别拉黑了，真的，我错了。周末有时间一起去吃个饭吗？顺便聊一下。小刘，我知道你对我的一切行为都是我咎由自取，一开始我先入为主的方式确实蛮恶心的，至于后来的所作所为更是让人恼火，我后来去了解才知道，像我这种煞笔真是挺讨人厌的，在此诚恳得对你说句对不起，至于面对面对你说的话，怕引起你的反感，我只希望你心里能够好受一些。说实话，我觉得自己还蛮贱的，有时我还挺开心的，起码可以时常见到你。;guilt-tripping;medium;neutral;low;colleague;workplace conflict
我有点做错了。我逼你逼的太紧了。还是说我要的太多了。对不起 为一切事情。你想说的时候可以跟我说。我知道可能你很伤心。但我想修复我们的关系。那就 有什么事情 明天早上再说吧。你还会跟我讲话吗。你不想讲的话那就先不讲了吧。我不强迫你原谅我 如果你真的觉得受不了的话就算了;emotional_blackmail;medium;negative;medium;friend;emotional conflict between friends
生日快乐，你最好看。我想去见你。不生气了好不好，警察把我抓走了，你不伤心啊; gaslighting;medium;negative;low;ex_partner;post-breakup emotional blackmail
我还以为昨天穿的太少冻着了，昨天的裙子还挺漂亮的，你是故意穿给我看的吧; sexual-harassment;medium;negative;medium;stranger;online harassment
回到我身边吧。昨晚梦到你了一睁开眼 真的好想你啊。而且咱俩分后我也没有新欢啊 这不是最好的证明吗 我真的不想有遗憾 而且我当时追你是个漫长的过程 咱俩真的是有什么误会。我就想看看你会不会主动找我毕竟你当时刚去学校 立马就变了 我真的没有做过对不起你的事我发誓！明明是我实习 你一天天的消息不发 我才着急的每天玩游戏 也不问问我在医院怎么样 我才着急的你给我感觉就是你不想和我谈了 我到底哪里做错了你就那么对我 我不要脸的找你 你说是我甩的…我想你了。你回到我身边吧 而且咱俩真的有误会。我没有甩你 你怎么能说是我甩的你呢;delusional speech;high;neutral;low;ex_partner;post-breakup emotional blackmail
